,Неправильный вариант,Правильный вариант
1054,"В современной экономической практике под сферой гостеприимства следует понимать индустрию туризма (туроператоры и турагенты) и инфраструктуру отраслей (общественное питание, размещение, культура и искусство, спорт), занятых обслуживанием туристского продукта, его распространением и созданием необходимых условий для экономико-технологических межотраслевых связей (отношений).","В современной экономической практике под сферой гостеприимства следует понимать индустрию туризма (туроператоры и турагенты) и инфраструктуру отраслей (общественное питание, размещение, культура и искусство, спорт), занятых обслуживанием туристского продукта, его распространением и созданием необходимых условий для экономико-технологических межотраслевых связей (отношений)."
1055,"В соответствии с действующей в настоящее время областной программой по развитию транспортной системы Омской области под проведение ремонта попадают межпоселенческие дороги, находящиеся в собственности Омской области, удаленность которых от г. Омска составляет не более 50 км.","В соответствии с действующей в настоящее время областной программой по развитию транспортной системы Омской области под проведение ремонта попадают межпоселенческие дороги, находящиеся в собственности Омской области, удалённость которых от г. Омска составляет не более 50 км."
1056,В состав входят следующие объекты электрогенерации:,В состав входят следующие объекты электрогенерации:
1057,"В то же время объем предоставляемых коммунальных услуг снижается в связи с переходом граждан на расчеты по показаниям приборов учета коммунальных ресурсов, как общедомовых, так и индивидуальных.","В то же время объём предоставляемых коммунальных услуг снижается в связи с переходом граждан на расчёты по показаниям приборов учёта коммунальных ресурсов как общедомовых, так и индивидуальных."
1058,"Внедрение широкого спектра новых продуктов питания, разрабатываемых на предприятиях и обогащенных микро и макронутриентами, позволит не только улучшить качественный состав питания детей и подростков, но и снизит риск заболеваемости детей.","Внедрение широкого спектра новых продуктов питания, разрабатываемых на предприятиях и обогащённых микро- и макронутриентами, позволит не только улучшить качественный состав питания детей и подростков, но и снизит риск заболеваемости детей."
1059,"Всего в области насчитывается: 2 участка крупных водохранилищ общей площадью 70 тыс. гектаров, более 9000 рек общей длиной 33000 км, 10000 озер, включая озера различного типа (происхождения), пруды и карьеры торфовыработок площадью около 40 тыс. га.","Всего в области насчитывается: 2 участка крупных водохранилищ общей площадью 70 тыс. гектаров, более 9000 рек общей длиной 33000 км, 10000 озёр, включая озёра различного типа (происхождения), пруды и карьеры торфовыработок площадью около 40 тыс. га."
1060,"Всего за 2011г. бригадами скорой медицинской помощи оказана медицинская помощь 7962 больным (2009г.-5886, 2010г. - 7216).Обращаемость населения за скорой помощьюв 2011г. составила305,1 на 1000 населения (2009 г.-218,2, 2010г- 279,0) РС (Я) 2009г.-359,0.Из общего количества обслуженных 33 % составляют дети, взрослые: женщины в возрастестарше 55 лет, мужчины старше 60 лет составляют 47%.","Всего за 2011 г. бригадами скорой медицинской помощи оказана медицинская помощь 7962 больным (2009 г.-5886, 2010 г. - 7216). Обращаемость населения за скорой помощью в 2011 г. составила 305,1 на 1000 населения (2009 г. - 218,2, 2010 г. - 279,0) РС (Я) 2009 г. - 359,0. Из общего количества обслуженных 33 % составляют дети, взрослые: женщины в возрасте старше 55 лет, мужчины старше 60 лет составляют 47%."
1061,Вторым приоритетом муниципальной политики являются модернизация и повышение энергоэффективности объектов коммунального хозяйства.,Вторым приоритетом муниципальной политики являются модернизация и повышение энергоэффективности объектов коммунального хозяйства.
1062,"Выплата денежных средств производится сотрудникам Управления опеки и попечительства администрации Беловского муниципального района, указанным в п. 1.2. настоящего положения, работающих с населением по вопросам «Воспитания ответственного родительства» за фактически отработанное время.","Выплата денежных средств производится сотрудникам Управления опеки и попечительства администрации Беловского муниципального района, указанным в п. 1.2. настоящего положения, работающим с населением по вопросам «Воспитания ответственного родительства» за фактически отработанное время."
1063,"Выявление причин тромботических нарушений позволяет определить тактику эффективного жизнесохраняющего лечения пациентов с сердечно-сосудистыми и гематологическими заболеваниями, акушерской патологией и патологией опорно-двигательного аппарата (у больных гемофилией).","Выявление причин тромботических нарушений позволяет определить тактику эффективного жизнесохраняющего лечения пациентов с сердечно-сосудистыми и гематологическими заболеваниями, акушерской патологией и патологией опорно-двигательного аппарата (у больных гемофилией)."
1064,Главная цель Стратегии достигается путем обеспечения социальноэкономического развития Ямальского района в соответствии с обозначенными приоритетными направлениями:,Главная цель Стратегии достигается путём обеспечения социально-экономического развития Ямальского района в соответствии с обозначенными приоритетными направлениями:
1065,"Главное богатствосельсовета, его главный природный потенциал – это высокоплодородные черноземные почвы.","Главное богатство сельсовета, его главный природный потенциал – это высокоплодородные черноземные почвы."
1066,"Данное основное мероприятие предполагает расходы на содержание и ремонт автомобильных дорог и искусственных сооружений на них (уборка снега, асфальтирование и ямочный ремонт дорог, установка дорожных знаков, разметка дорог, щебенение улиц, ремонт тротуаров и прочие работы).","Данное основное мероприятие предполагает расходы на содержание и ремонт автомобильных дорог и искусственных сооружений на них (уборка снега, асфальтирование и ямочный ремонт дорог, установка дорожных знаков, разметка дорог, щебенение улиц, ремонт тротуаров и прочие работы)."
1067,"Данные звуковые электросирены оповещают 12,3 тыс. человек в г. Южа или 90% населения города.","Данные звуковые электросирены оповещают 12,3 тыс. человек в г. Южа или 90% населения города."
1068,"Для оценки эффективности реализации Программы используются целевые показатели по направлениям, которые отражают выполнениеее мероприятий.","Для оценки эффективности реализации Программы используются целевые показатели по направлениям, которые отражают выполнение мероприятий."
1069,Для повышения эффективности производства и использования средств федерального бюджета сельхозтоваропроизводители ежегодно заключают соглашения с Министерством сельского хозяйства о предоставлении субсидий на поддержку сельскохозяйственного производства.,Для повышения эффективности производства и использования средств федерального бюджета сельхозтоваропроизводители ежегодно заключают соглашения с Министерством сельского хозяйства о предоставлении субсидий на поддержку сельскохозяйственного производства.
1070,"Земли засевыют зерновыми культурурами, сахарной свеклой..","Земли засевают зерновыми культурами, сахарной свёклой."
1071,"Значение показателя средневзвешенной величина кислотности почв пашни в Почепском районе за 2017 год составляет 5,57, что ниже среднеобластного значения на 2,3%.","Значение показателя средневзвешенной величины кислотности почв пашни в Почепском районе за 2017 год составляет 5,57, что ниже среднеобластного значения на 2,3%."
1072,"Значительное развитие получило в Орловщине коневодство, в том числе, высокопородное, элитное.","Значительное развитие получило в Орловщине коневодство, в том числе, высокопородное, элитное."
1073,"Изменение соотношения этих групп в ближайшее время не предвидется, но в целом будет зависеть, прежде всего, от уровня доходов населения вне личного подворья, а также от режима государственной поддержки владельцев личных подсобных хозяйств.","Изменение соотношения этих групп в ближайшее время не предвидится, но в целом будет зависеть, прежде всего, от уровня доходов населения вне личного подворья, а также от режима государственной поддержки владельцев личных подсобных хозяйств."
1074,Истоминское сельское поселениегазифицированно на 99%.,Истоминское сельское поселение газифицировано на 99 %.
1075,К основным рискам реализации мероприятий муниципальнойпрограммы можно отнести следующие риски:,К основным рискам реализации мероприятий муниципальной программы можно отнести следующие риски:
1076,"Количество детей первых 2-х лет жизни из семей малолоимущих,","Количество детей первых 2-х лет жизни из семей малоимущих,"
1077,Контроль за целевым использованием бюджетных средств осуществляет контрольно –счетныйИланского района.,Контроль за целевым использованием бюджетных средств осуществляет контрольно–счётный Иланского района.
1078,"Кроме того, этот аспект имиджа хорошо коммерциализируем: разработка и реализация программ по развитию этих уникальных объектов путем создания музеев, гостиниц и туристических программ обеспечит приток дополнительных доходов в местные бюджеты.","Кроме того, этот аспект имиджа хорошо коммерциализируем: разработка и реализация программ по развитию этих уникальных объектов путём создания музеев, гостиниц и туристических программ обеспечит приток дополнительных доходов в местные бюджеты."
1079,"Культурная среда сегодня становится ключевым понятием современного общества и представляет собой не отдельную область государственного регулирования, а сложную и много уровневую систему, внутри которой решение проблем может быть только комплексным, учитывающим множество смежных факторов и соединяющим усилия разных ведомсв, общественных институтов и бизнеса.","Культурная среда сегодня становится ключевым понятием современного общества и представляет собой не отдельную область государственного регулирования, а сложную и многоуровневую систему, внутри которой решение проблем может быть только комплексным, учитывающим множество смежных факторов и соединяющим усилия разных ведомств, общественных институтов и бизнеса."
1080,"Линии обслуживаются теплоходами ""Москва"" пассажировместимостью 200 человек, ПТ (Водолей - 1) - 120 человек","Линии обслуживаются теплоходами ""Москва"" пассажировместимостью 200 человек, ПТ (Водолей - 1) - 120 человек"
1081,"МПП «Велес» реализует проект по строительству мясоперерабатывающего цеха (включая скотоубойный цех мощностью до 50 тонн), который разделён на четыре этапа.","МПП «Велес» реализует проект по строительству мясоперерабатывающего цеха (включая скотоубойный цех мощностью до 50 тонн), который разделён на четыре этапа."
1082,"Малый и средний бизнес является не только основой пополнения бюджетов всех уровней, но и инструментом решения таких социальных вопросов, какобеспечение устойчивой занятости населения, увеличение доходов, формирование среднего класса, способствующего социально-политической стабильностиобщества и т.д.","Малый и средний бизнес является не только основой пополнения бюджетов всех уровней, но и инструментом решения таких социальных вопросов, как обеспечение устойчивой занятости населения, увеличение доходов, формирование среднего класса, способствующего социально-политической стабильности общества и т.д."
1083,"Маршрутная сеть Кабардино-Балкарской Республики представлена 278 маршрутами, из них 66 - городские, 30 - внутримуниципальные, 130 - межмуниципальные, 50 - межсубъектные, 2 - международные.","Маршрутная сеть Кабардино-Балкарской Республики представлена 278 маршрутами, из них 66 - городские, 30 - внутримуниципальные, 130 - межмуниципальные, 50 - межсубъектные, 2 - международные."
1084,Маршрутная сеть пассажироперевозок состоит из 27 маршрутов и составляет 1113 км.,Маршрутная сеть пассажироперевозок состоит из 27 маршрутов и составляет 1113 км.
1085,Местное самоуправление осуществляется в целях решения вопросов местного значения межпоселенческого характера населением непосредственно через Собрание депутатов Моковского сельсовета Курского района Курской области.,Местное самоуправление осуществляется в целях решения вопросов местного значения межпоселенческого характера населением непосредственно через Собрание депутатов Моковского сельсовета Курского района Курской области.
1086,"Местный бюджет за последние 3 года из профицитного перешел в дефицитный, более 70% доходов составляют субвенции и субсидии.","Местный бюджет за последние 3 года из профицитного перешёл в дефицитный, более 70% доходов составляют субвенции и субсидии."
1087,"Модель конкурса построена на принципах бизнес-акселератора - механизма поддержки стартапов через прохождение программы отбора и интенсивного развития бизнес-идей при помощи менторства, обучения, экспертной и финансовой помощи.","Модель конкурса построена на принципах бизнес-акселератора - механизма поддержки стартапов через прохождение программы отбора и интенсивного развития бизнес-идей при помощи менторства, обучения, экспертной и финансовой помощи."
1088,Муниципальное образование с учетом высокой степени дотационности своего бюджета самостоятельно проблему решить также не может.,Муниципальное образование с учётом высокой степени дотационности своего бюджета самостоятельно проблему решить также не может.
1089,На 2017-2018 годы объемы бюджетных ассигнований будут рассчитаны исходя из досчета объемов бюджетных ассигнований на продление обязательств длящегося характера.,"На 2017-2018 годы объёмы бюджетных ассигнований будут рассчитаны, исходя из досчёта объёмов бюджетных ассигнований на продление обязательств длящегося характера."
1090,На 2017-2019 годы объемы бюджетных ассигнований рассчитаны исходя из досчета объемов бюджетных ассигнований на продление обязательств длящегося характера.,На 2017-2019 годы объёмы бюджетных ассигнований рассчитаны исходя из досчёта объёмов бюджетных ассигнований на продление обязательств длящегося характера.
1091,На ЗАО КХП «Злак» функционирует высокотехнологичное пылегазоочистное оборудование.,На ЗАО КХП «Злак» функционирует высокотехнологичное пылегазоочистное оборудование.
1092,На высоком уровне в библиотеках области остается показатель книгообеспеченности.,На высоком уровне в библиотеках области остаётся показатель книгообеспеченности.
1093,"На основании анализа фактического состояния предприятий золотодобывающей отрасли, базирующихся в п. Югоренок, и негативной оценки перспектив их развития, в 2000 году Правительство РС(Я) внесло Постановление о ликвидации МО п. Югоренок ввиду его монопрофильной зависимости от золотодобывающих предприятий, работающих на его территории.","На основании анализа фактического состояния предприятий золотодобывающей отрасли, базирующихся в п. Югоренок, и негативной оценки перспектив их развития, в 2000 году Правительство РС(Я) внесло Постановление о ликвидации МО п. Югоренок ввиду его монопрофильной зависимости от золотодобывающих предприятий, работающих на его территории."
1094,"На севере граничит с Велижским районом, на востоке – со Смоленским, на юге – с Краснинским, на северо-востоке – с Демидовским, на западе – граница с республиой Беларусь.","На севере граничит с Велижским районом, на востоке – со Смоленским, на юге – с Краснинским, на северо-востоке – с Демидовским, на западе – граница с республикой Беларусь."
1095,На сегодняшний день архив располагает свободными архивными прощадями.,На сегодняшний день архив располагает свободными архивными площадями.
1096,"На это же указывает и показатель удельноговеса выручки от реализации товаров (работ, услуг) МСП города Брянска в выручке от реализации товаров (работ, услуг) по Брянской области, который составил 66,0% по ЮЛ, и соответственно по ИП - 61,5%.","На это же указывает и показатель удельного веса выручки от реализации товаров (работ, услуг) МСП города Брянска в выручке от реализации товаров (работ, услуг) по Брянской области, который составил 66,0% по ЮЛ, и соответственно по ИП - 61,5%."
1097,"Наличие хорошо оборудованного стадиона при физкультурно-оздорови-тельном клубе «Снежинка» обеспечивает проведение зимних игр по хоккею, привлекает много желающих покататься на коньках.","Наличие хорошо оборудованного стадиона при физкультурно-оздоровительном клубе «Снежинка» обеспечивает проведение зимних игр по хоккею, привлекает много желающих покататься на коньках."
1098,Налоговые и неналоговые доходы в бюджетах поселений большей части составляют незначительную долю и не являются бюджетообразующими.,Налоговые и неналоговые доходы в бюджетах поселений большей части составляют незначительную долю и не являются бюджетообразующими.
1099,Налоговые и неналоговые доходы в бюджетах поселений входящих состав Тюльганского района составляют незначительную долю и не являются бюджетообразующими.,Налоговые и неналоговые доходы в бюджетах поселений входящих состав Тюльганского района составляют незначительную долю и не являются бюджетообразующими.
1100,"Наряду с этим необходимо предусмотреть меры по активизации в учреждениях здравоохранения работы кабинета врача-профпатолога, что обеспечит повышение качества профпатологической помощи в районев том числе эффективность работы по организации и проведению периодических медицинских осмотров, диспансеризации работников вредных профессий и больных профзаболеваниями, будет способствовать своевременной постановке предварительного диагноза профзаболевания и направлению больного на обследование в центр профпатологии.","Наряду с этим необходимо предусмотреть меры по активизации в учреждениях здравоохранения работы кабинета врача-профпатолога, что обеспечит повышение качества профпатологической помощи в районе в том числе эффективность работы по организации и проведению периодических медицинских осмотров, диспансеризации работников вредных профессий и больных профзаболеваниями, будет способствовать своевременной постановке предварительного диагноза профзаболевания и направлению больного на обследование в центр профпатологии."
1101,"Наши пенсионеры сегодня активно используют полученные знания при осуществлении оплаты жилищно-коммунальных услуг, подачи заявлений в электронном виде через сайт госуслуг, записываются на приём к врачу, активно общаются и находят нужную информацию в интернете, пользуются скайпом.","Наши пенсионеры сегодня активно используют полученные знания при осуществлении оплаты жилищно-коммунальных услуг, подачи заявлений в электронном виде через сайт госуслуг, записываются на приём к врачу, активно общаются и находят нужную информацию в интернете, пользуются скайпом."
1102,"Недостаточно широк спектр услуг художественного любительского самодеятельного творчества, предоставляемого учреждениями культуры жителям разных возрастных категорий населения: недостаточно разножанровых хореографических, вокальных, цирковых коллективов.","Недостаточно широк спектр услуг художественного любительского самодеятельного творчества, предоставляемого учреждениями культуры жителям разных возрастных категорий населения: недостаточно разножанровых хореографических, вокальных, цирковых коллективов."
1103,"Недостаточность двигательной активности приводит к таким проблемам со здоровьем как сердечнососудистые заболевания, инсульт, диабет типа II, ожирение, некоторые типы рака, остеопороз и вызывают депрессию.","Недостаточность двигательной активности приводит к таким проблемам со здоровьем как сердечно-сосудистые заболевания, инсульт, диабет типа II, ожирение, некоторые типы рака, остеопороз и вызывают депрессию."
1104,Необходимо провести инвентаризацию бесхозных сетей в ближайщее время.,Необходимо провести инвентаризацию бесхозных сетей в ближайшее время.
1105,"Необходимол привести в надлежащее состояние военно-мемориальные объекты и благоустроить их территории, достойно увековечить память погибших солдат, солдат-односельчан при исполнении воинского долга в годы Великой Отечественной войны 1941-1945 гг., именно учреждения культуры и памятники историко-культурного наследия обеспечивают преемственность поколений, сохранение, распространение и развитие национальной культуры, духовно-нравственных ценностей, формирование патриотических чувств, в конечном счёте определяя лицо того общества, в котором предстоит жить человечеству.","Необходимо привести в надлежащее состояние военно-мемориальные объекты и благоустроить их территории, достойно увековечить память погибших солдат, солдат-односельчан при исполнении воинского долга в годы Великой Отечественной войны 1941-1945 гг., именно учреждения культуры и памятники историко-культурного наследия обеспечивают преемственность поколений, сохранение, распространение и развитие национальной культуры, духовно-нравственных ценностей, формирование патриотических чувств, в конечном счёте определяя лицо того общества, в котором предстоит жить человечеству."
1106,"Нереализация данного мероприятия может привести к снижению уровня доступности и качества общего образования в Касторенском районе, росту социальной напряженности.","Нереализация данного мероприятия может привести к снижению уровня доступности и качества общего образования в Касторенском районе, росту социальной напряжённости."
1107,"Нередко формирующийся у молодых людей комплекс социальных обид принимает форму этнически окрашенного протеста, что создает благоприятные условия для роста на этой почве разного рода «этномигрантофобий».","Нередко формирующийся у молодых людей комплекс социальных обид принимает форму этнически окрашенного протеста, что создаёт благоприятные условия для роста на этой почве разного рода «этномигрантофобий»."
1108,"Неудовлетворительные потребительские свойства последних сдерживают социально-экономическое развитие села, являются причиной неуправляемой и неэффективной миграции сельского населения в инфраструктурно - обеспеченные территории.","Неудовлетворительные потребительские свойства последних сдерживают социально-экономическое развитие села, являются причиной неуправляемой и неэффективной миграции сельского населения в инфраструктурно обеспеченные территории."
1109,"Неухоженность территорий, отсутствие детских игровых площадок и зон отдыха во дворах, устаревшие малые архитектурные формы – все это негативно влияет на эмоциональное состояние и качество жизни населения.","Неухоженность территорий, отсутствие детских игровых площадок и зон отдыха во дворах, устаревшие малые архитектурные формы – всё это негативно влияет на эмоциональное состояние и качество жизни населения."
1110,"ОМ 5 направлено на обеспечение качества образования в части внеучебных достижений учащихся, независимо от их места жительства и социально-экономического положения.","ОМ 5 направлено на обеспечение качества образования в части внеучебных достижений учащихся, независимо от их места жительства и социально-экономического положения."
1111,"Обновление содержания и технологий образования, обеспечивающих оптимальное сочетание фундаментальности и компетентностного подхода.","Обновление содержания и технологий образования, обеспечивающих оптимальное сочетание фундаментальности и компетентностного подхода."
1112,Обучающиесяшколы неизменно добиваются высоких результатов и достойно представляют Кашинский городской округ на мероприятиях различного уровня.,Обучающиеся школы неизменно добиваются высоких результатов и достойно представляют Кашинский городской округ на мероприятиях различного уровня.
1113,"Общая площадь территории Чебаркульского городского округа составляет 7696 га, в том числе застроенная территория – 21,6% (1660 га), залесенные территории – 26%, озерами занято 31%.","Общая площадь территории Чебаркульского городского округа составляет 7696 га, в том числе застроенная территория – 21,6% (1660 га), залесенные территории – 26%, озёрами занято 31%."
1114,"Объем отгрузки продуктов мукомольно-крупяной промышленности, крахмалов и крахмало-продуктов за 2016 год оценивается в 380,633 млн. руб. или 74,9% к уровню 2015 года.","Объём отгрузки продуктов мукомольно-крупяной промышленности, крахмалов и крахмало-продуктов за 2016 год оценивается в 380,633 млн. руб. или 74,9% к уровню 2015 года."
1115,Они необходимы в условиях поливариантности дальнейшего социально-экономического развития территории.,Они необходимы в условиях поливариантности дальнейшего социально-экономического развития территории.
1116,"Они обусловлены замедлением роста мировой экономики, ростом волатильности финансовых рынков, обесцениваем валют развивающихся рынков.","Они обусловлены замедлением роста мировой экономики, ростом волатильности финансовых рынков, обесцениваем валют развивающихся рынков."
1117,"Описание общерайонной проблемы, на решение которой направлена реализация подпрограммы","Описание общерайонной проблемы, на решение которой направлена реализация подпрограммы."
1118,"Оснащение автотранспортом муниципальных учреждений, выполняющих роль опорных пунктов культурного развития для близлежащих территорий (библиотек и межпоселенческих учреждений культуры клубного типа), позволяет активно развивать мобильные формы обслуживания, кинопоказ, библиоэкспресс.","Оснащение автотранспортом муниципальных учреждений, выполняющих роль опорных пунктов культурного развития для близлежащих территорий (библиотек и межпоселенческих учреждений культуры клубного типа), позволяет активно развивать мобильные формы обслуживания, кинопоказ, библиоэкспресс."
